firstName,lastName,bcubeID
Matt,Boyd,157347
Mike,Clevinger,157562
Dietrich,Enns,157819
Luke,Farrell,157854
Kendall,Graveman,158039
Kendall,Graveman,158039
Mark,Leiter,158527
Kyle,Lloyd,158564
Tyler,Mapes,158642
Alec,Mills,158797
Chris,Rowley,159242
Chris,Rowley,159242
Troy,Scribner,159330
Troy,Scribner,159330
Troy,Scribner,159330
Chris,Stratton,159486
Chris,Stratton,159486
Drew,Verhagen,159637
Michael,Wacha,159655
Michael,Wacha,159655
Tyler,Wagner,159661
Alex,Wood,159785
Casey,Lawrence,160997
Williams,Perez,161107
Williams,Perez,161107
Jose,Quintana,161123
Carlos,Martinez,161972
Hector,Neris,162005
Erasmo,Ramirez,162021
Erasmo,Ramirez,162021
Erasmo,Ramirez,162021
Trevor,Williams,162126
Ben,Lively,162450
Ben,Lively,162450
Chad,Kuhl,162616
Aaron,Slegers,163020
Aaron,Slegers,163020
Sean,Manaea,163027
Jimmy,Yacabonis,164131
Caleb,Smith,164167
Kyle,Mcgowin,164240
Kyle,Mcgowin,164240
Kyle,Mcgowin,164240
Josh,Prevost,164275
Josh,Prevost,164275
Josh,Prevost,164275
Joe,Biagini,164677
Artie,Lewicki,164896
Jeff,Brigham,164934
Jeff,Brigham,164934
Jeff,Brigham,164934
Jeff,Brigham,164934
Austin,Voth,164945
Spencer,Turnbull,165084
Spencer,Turnbull,165084
Spencer,Turnbull,165084
Spencer,Turnbull,165084
Spencer,Turnbull,165084
Matt,Wisler,165112
Andrew,Suarez,165113
Andrew,Suarez,165113
Andrew,Suarez,165113
Joe,Musgrove,165142
Joe,Musgrove,165142
Joe,Musgrove,165142
Jake,Faria,165188
Zach,Davies,165245
Zach,Davies,165245
Zach,Davies,165245
Zach,Davies,165245
Robert,Stephenson,165253
Robert,Stephenson,165253
Cy,Sneed,165272
Erick,Fedde,165274
Erick,Fedde,165274
Erick,Fedde,165274
Daniel,Norris,165282
Daniel,Norris,165282
Daniel,Norris,165282
Daniel,Norris,165282
Luke,Weaver,165284
Tyler,Beede,165296
Tyler,Beede,165296
Tyler,Beede,165296
Joe,Ross,165311
Joe,Ross,165311
Joe,Ross,165311
Joe,Ross,165311
Daniel,Gossett,165314
Daniel,Gossett,165314
Nick,Burdi,165339
Brett,Graves,165351
John,Means,165353
John,Means,165353
Adrian,Houser,165372
Adrian,Houser,165372
Shawn,Morimando,165391
Dillon,Maples,165397
Anthony,Banda,165419
John,Gant,165473
John,Gant,165473
Scott,Barlow,165474
Scott,Barlow,165474
Scott,Barlow,165474
Andrew,Vasquez,165478
Brandon,Bonilla,165493
Max,Povse,165502
Max,Povse,165502
Wesley,Benjamin,165510
Brandon,Woodruff,165554
Michael,Fulmer,165556
Michael,Fulmer,165556
Rookie,Davis,165576
Rookie,Davis,165576
Carlos,Rodon,165585
Carlos,Rodon,165585
Carlos,Rodon,165585
Clay,Holmes,165596
Clay,Holmes,165596
Ryan,Merritt,165662
Adrian,Sampson,165701
Joan,Gregorio,165997
William,Cuevas,166032
Felix,Pena,166120
Felix,Pena,166120
Eduardo,Rodriguez,166155
Eduardo,Rodriguez,166155
Gabriel,Ynoa,166221
Luis,Cessa,166231
Luis,Cessa,166231
Luis,Cessa,166231
Roenis,Elias,166268
Richard,Rodriguez,166285
Adalberto,Mejia,167710
Adalberto,Mejia,167710
Ben,Meyer,167882
Austen,Williams,167908
Daniel,Mengden,167958
Jordan,Montgomery,168172
Jonathan,Holder,168378
Jacob,Rhame,168650
Jeff,Hoffman,169411
Jeff,Hoffman,169411
Taylor,Clarke,169631
Kyle,Hart,169726
Austin,Gomber,170000
Matt,Gage,170071
Justin,Anderson,170466
Jake,Paulson,170647
Chad,Sobotka,170675
Chad,Sobotka,170675
Eric,Skoglund,170865
Eric,Skoglund,170865
Eric,Skoglund,170865
Eric,Skoglund,170865
Jose,Berrios,170882
Walker,Buehler,170889
Walker,Buehler,170889
Walker,Buehler,170889
Thomas,Pannone,170892
Thomas,Pannone,170892
Lucas,Sims,170908
Lucas,Sims,170908
Cole,Irvin,170915
Daniel,Zamora,170926
Drew,Anderson,170981
Chase,De Jong,171001
Chase,De Jong,171001
Chase,De Jong,171001
Lance,McCullers,171003
Corey,Oswalt,171013
Robert,Whalen,171015
Robert,Whalen,171015
Duane,Underwood,171023
Chris,Flexen,171040
Eric,Hanhold,171054
Kyle,Cody,171065
Carson,Fulmer,171074
Evan,Phillips,171094
Max,Fried,171118
Max,Fried,171118
Max,Fried,171118
Andrew,Sopko,171131
Ryan,Borucki,171139
Ryan,Borucki,171139
Ty,Buttrey,171153
Ty,Buttrey,171153
Hunter,Wood,171154
Jacob,Waguespack,171188
Paul,Blackburn,171196
Walker,Lockett,171224
Walker,Lockett,171224
Zach,Eflin,171225
Zach,Eflin,171225
Brock,Dykxhoorn,171236
Brock,Dykxhoorn,171236
Taylor,Hearn,171271
Taylor,Hearn,171271
Caleb,Frare,171276
J.B.,Wendelken,171298
Ashton,Goudeau,171337
Ashton,Goudeau,171337
Brian,Ellington,171345
Logan,Taylor,171390
Brad,Wieck,171401
Brad,Wieck,171401
Matt,Strahm,171426
Jarlin,Garcia,171597
Cesar,Vargas,171617
